f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18
5297864,50931.75184468765,1.0,0.0,0.875,7.427062235737822,0.7516477231826442,0.6767797085868048,0.9649745162220207,0.606662652182499,0.5129771342711761,0.5301956483486167,0.7130941966789118,0.551135024667651,0.5092379985664907,0.7155502083061024,0.0,0.020000000000000046
5297904,50930.714511354316,1.0,0.0,0.875,7.253310763905896,0.7570762302025544,0.6668702314262871,0.9653335826476551,0.6044619011142875,0.49987428476448953,0.5442425812126594,0.7103484456505355,0.5483690481169002,0.5183202868465282,0.7153810428721785,0.0,0.020000000000000046
5298215,50932.253996202795,1.0,0.0,0.875,7.645453254756059,0.7631383168821874,0.666895171342382,0.9632343210072983,0.608252536283838,0.5134385481083307,0.5463035308471267,0.7094656842194499,0.5607791019547016,0.5142527204579479,0.705183993734214,0.0,0.020000000000000046
5298288,50931.7439962028,1.0,0.0,0.875,7.500236799792144,0.7557343578656343,0.6822980628106468,0.9661976464786968,0.6058861150780787,0.48771052103362494,0.5223386427918942,0.7092739630901592,0.5495801457090618,0.5073572648036472,0.7006557842554774,0.0,0.025000000000000046
5298325,50931.723762436566,1.0,0.0,0.875,7.289715657692542,0.7698411262118376,0.6483170250145821,0.9657182736141471,0.6076529422448538,0.49270852502493967,0.5327948082168965,0.7092594772813975,0.5451445583523373,0.5008020404746573,0.6994746743442255,0.0,0.02500000000000003
5298974,50933.4172970686,1.0,0.0,0.875,7.8732960059955035,0.7655198273207815,0.645974714463854,0.9638287926304437,0.607342866058784,0.5185476820119328,0.5432427652156672,0.7089292964220326,0.572043594785839,0.5176035003356578,0.7092441294144496,0.0,0.02500000000000003
5299012,50932.82378570496,1.0,0.0,0.875,7.3641542519939795,0.7831488447309161,0.6393548121179069,0.9647095970122662,0.600645295624155,0.5194999964663649,0.5600019896841278,0.7091060544921715,0.5560093112143927,0.5153068398560576,0.7262819939066942,0.0,0.020000000000000046
5299643,50933.98449999068,1.0,0.0,0.875,7.641851947407778,0.783213475771177,0.6348961562936216,0.963253005646367,0.5997155051948336,0.5252475494290539,0.573056645948609,0.7089516360865322,0.5600680399492353,0.5240395803958033,0.7328316798616079,0.0,0.020000000000000046
5299682,50933.98449999068,1.0,0.0,0.875,7.7522246967516075,0.7719640506774631,0.6465109207665644,0.965225908447834,0.5999090939753519,0.5263877001933424,0.557140952844196,0.7089401933381211,0.5534494526643087,0.5224829653227715,0.7202214221709516,0.0,0.020000000000000046
5299951,50934.44449999068,1.0,0.0,0.875,7.6453677682135055,0.77985750282754,0.6246885539491167,0.9644675016123128,0.6005895187114395,0.5172901016234309,0.5575497192600579,0.7092680714092976,0.5656905972629059,0.5174507116141499,0.7247219352313343,0.0,0.020000000000000035
5299990,50934.29283332401,1.0,0.0,0.875,8.089191926201668,0.7708014805365001,0.6503963101573353,0.9649747262769873,0.6013360318382193,0.5206852898485026,0.5615238105316029,0.7092741838251012,0.5547626551949897,0.5196036511400863,0.7277819622184872,0.0,0.020000000000000046
5300335,50934.29283332401,1.0,0.0,0.875,7.699421861589596,0.7784899908254624,0.6242937183355566,0.9629836384066625,0.6007424656503026,0.5194266655654587,0.5667148967861582,0.7092718062123513,0.5621417649856437,0.519630054872691,0.7275278770696381,0.0,0.020000000000000046
5300374,50934.75283332401,1.0,0.0,0.875,7.690704407938257,0.7748253941744003,0.65359881190078,0.9639777781444491,0.6004792296591559,0.5188491089639017,0.5578971031937979,0.7092824223520188,0.5513123534461097,0.5142585470243464,0.7264105035744761,0.0,0.020000000000000035
5300642,50933.98449999068,1.0,0.0,0.875,7.393108243370303,0.7693696579488795,0.6547265540462427,0.966859514740051,0.6015379660043088,0.5119066157211513,0.5297106228658074,0.7089437092247391,0.5421952358503206,0.5124519464408869,0.7209036232907451,0.0,0.020000000000000046
5300686,50934.54549999068,1.0,0.0,0.875,7.5502010813024985,0.7774395619212202,0.632258182744766,0.963230968550809,0.6021770464561848,0.5070700092900723,0.5493642166555401,0.7089363864696093,0.5603640992891532,0.5159314340028595,0.7238059272211199,0.0,0.020000000000000046
5300721,50933.426791657344,1.0,0.0,0.875,7.466093763034354,0.7788523723142977,0.6312889897867912,0.9636369252384213,0.6028591587368157,0.5053935205977228,0.5404126509126315,0.7092536381073616,0.5662180295440736,0.5179791483404609,0.7228221380225623,0.0,0.020000000000000046
5300754,50933.426791657344,1.0,0.0,0.875,7.279478407377998,0.7794313755128852,0.6361517935434516,0.9641312923776485,0.6051128836549671,0.5102640031996404,0.55020590983307,0.7092513985239413,0.568119266171869,0.5209926411994494,0.7208702627948099,0.0,0.020000000000000046
5301871,50930.34792802098,1.0,0.0,0.875,7.2736921767123555,0.7601404554643774,0.6362227690353697,0.9636543345886611,0.6036360263749466,0.5203965967890515,0.5606966663610978,0.7089318001891739,0.551409782502696,0.5210218931742474,0.7142093226071469,0.0,0.020000000000000046
5301909,50931.834678020976,1.0,0.0,0.875,7.2696314501616675,0.7638020319786079,0.6555935498603906,0.965680218165283,0.6025297224492183,0.524982149923837,0.5439443356728347,0.7089296885116366,0.5606249053728996,0.5245203075366126,0.7244337645393752,0.0,0.020000000000000046
5303389,50931.95270832401,1.0,0.0,0.875,7.4730286932224335,0.7608420639701913,0.6398801043982053,0.9645204444839244,0.6015604069112261,0.5189608015103934,0.5473328841857806,0.7089438400495918,0.5572026034180969,0.5110626409264134,0.724981393563537,0.0,0.020000000000000046
5303428,50932.510416657344,1.0,0.0,0.875,7.476891353764966,0.7597283707101872,0.6640752040230427,0.9659370259718455,0.601868768529687,0.525208249032762,0.5502788213209192,0.7089257582817745,0.5533188717451479,0.5163962253267067,0.7266860998500317,0.0,0.020000000000000046
5303676,50929.8793951927,1.0,0.0,0.875,7.142868411363229,0.7608263045962383,0.6548741002725542,0.9658830546846052,0.6039713842770236,0.5115382294378846,0.5500570266228054,0.7089223259859344,0.560812428780469,0.5147218875461881,0.7191727164442098,0.0,0.020000000000000046
5303726,50930.397880041186,1.0,0.0,0.875,7.150754431956507,0.777386149980125,0.6393412395970216,0.9633785287696317,0.6013554508010249,0.5147607976167503,0.5511970748175187,0.7089293876645484,0.5782694876839296,0.5208611225179091,0.720209253641895,0.0,0.025000000000000046
5303754,50930.80877398058,1.0,0.0,0.875,6.7476894166938015,0.7827677496479268,0.6440523660214754,0.9638695304307161,0.5997537675943374,0.5042803989804834,0.5568293204797762,0.7089380572267562,0.5573286489291337,0.5077637085293102,0.7211520833871279,0.0,0.025000000000000046
